settlement_id,utr,amount,fees,settled_at
SET-000050,UTR-IND-00000050,1959.02,39.98,2026-08-02T10:18:00+00:00
SET-000051,UTR-IND-00000051,7350.00,150.00,2026-08-09T13:37:00+00:00
SET-000052,UTR-IND-00000052,24500.00,500.00,2026-08-16T16:49:00+00:00
SET-000053,UTR-IND-00000053,2449.02,49.98,2026-08-23T19:08:00+00:00
SET-000054,UTR-IND-00000054,293.02,5.98,2026-08-05T22:23:00+00:00
SET-000055,UTR-IND-00000055,293.02,5.98,2026-08-13T01:37:00+00:00
SET-000056,UTR-IND-00000056,2449.02,49.98,2026-08-19T04:54:00+00:00
SET-000057,UTR-IND-00000057,4899.02,99.98,2026-08-26T07:19:00+00:00
SET-000058,UTR-IND-00000058,2449.02,49.98,2026-08-08T10:35:00+00:00
SET-000059,UTR-IND-00000059,1959.02,39.98,2026-08-15T13:52:00+00:00
SET-000060,UTR-IND-00000060,2449.02,49.98,2026-08-22T16:08:00+00:00
SET-000061,UTR-IND-00000061,1959.02,39.98,2026-08-04T19:20:00+00:00
SET-000062,UTR-IND-00000062,14699.02,299.98,2026-08-11T22:42:00+00:00
SET-000063,UTR-IND-00000063,14699.02,299.98,2026-08-19T01:53:00+00:00
SET-000064,UTR-IND-00000064,979.02,19.98,2026-08-25T04:16:00+00:00
SET-000065,UTR-IND-00000065,4899.02,99.98,2026-08-07T07:30:00+00:00
SET-000066,UTR-IND-00000066,1959.02,39.98,2026-08-14T10:52:00+00:00
SET-000067,UTR-IND-00000067,24500.00,500.00,2026-08-21T14:07:00+00:00
SET-000068,UTR-IND-00000068,1469.51,29.99,2026-08-03T16:25:00+00:00
SET-000069,UTR-IND-00000069,2449.02,49.98,2026-08-10T19:42:00+00:00
SET-000070,UTR-IND-00000070,979.02,19.98,2026-08-17T23:00:00+00:00
SET-000071,UTR-IND-00000071,293.02,5.98,2026-08-25T01:12:00+00:00
SET-000072,UTR-IND-00000072,1469.51,29.99,2026-08-06T04:33:00+00:00
SET-000073,UTR-IND-00000073,48999.02,999.98,2026-08-13T07:49:00+00:00
SET-000074,UTR-IND-00000074,489.02,9.98,2026-08-20T11:06:00+00:00
SET-000075,UTR-IND-00000075,293.02,5.98,2026-08-02T13:21:00+00:00
SET-000076,UTR-IND-00000076,24500.00,500.00,2026-08-09T16:40:00+00:00
SET-000077,UTR-IND-00000077,48999.02,999.98,2026-08-16T19:54:00+00:00
SET-000078,UTR-IND-00000078,3429.02,69.98,2026-08-23T22:08:00+00:00
SET-000079,UTR-IND-00000079,489.02,9.98,2026-08-06T01:25:00+00:00
SET-000080,UTR-IND-00000080,489.02,9.98,2026-08-12T04:50:00+00:00
SET-000081,UTR-IND-00000081,1469.51,29.99,2026-08-19T08:07:00+00:00
SET-000082,UTR-IND-00000082,783.02,15.98,2026-08-26T10:17:00+00:00
SET-000083,UTR-IND-00000083,783.02,15.98,2026-08-08T13:39:00+00:00
SET-000084,UTR-IND-00000084,979.02,19.98,2026-08-15T16:50:00+00:00
SET-000085,UTR-IND-00000085,783.02,15.98,2026-08-22T19:15:00+00:00
SET-000086,UTR-IND-00000086,4899.02,99.98,2026-08-04T22:27:00+00:00
SET-000087,UTR-IND-00000087,4899.02,99.98,2026-08-12T01:45:00+00:00
SET-000088,UTR-IND-00000088,9799.02,199.98,2026-08-18T05:02:00+00:00
SET-000089,UTR-IND-00000089,24500.00,500.00,2026-08-25T07:16:00+00:00
SET-000090,UTR-IND-00000090,293.02,5.98,2026-08-07T10:33:00+00:00
SET-000091,UTR-IND-00000091,783.02,15.98,2026-08-14T13:57:00+00:00
SET-000092,UTR-IND-00000092,2939.02,59.98,2026-08-21T16:11:00+00:00
SET-000093,UTR-IND-00000093,783.02,15.98,2026-08-03T19:28:00+00:00
SET-000094,UTR-IND-00000094,3429.02,69.98,2026-08-10T22:47:00+00:00
SET-000095,UTR-IND-00000095,3429.02,69.98,2026-08-18T02:05:00+00:00
SET-000096,UTR-IND-00000096,3429.02,69.98,2026-08-24T04:16:00+00:00
SET-000097,UTR-IND-00000097,2939.02,59.98,2026-08-06T07:32:00+00:00
SET-000098,UTR-IND-00000098,1273.02,25.98,2026-08-13T10:52:00+00:00
SET-000099,UTR-IND-00000099,1959.02,39.98,2026-08-20T13:08:00+00:00
SET-000100,UTR-IND-00000100,2939.02,59.98,2026-08-02T16:26:00+00:00
SET-000101,UTR-IND-00000101,489.02,9.98,2026-08-09T19:45:00+00:00
SET-000102,UTR-IND-00000102,2939.02,59.98,2026-08-16T22:56:00+00:00
SET-000103,UTR-IND-00000103,4899.02,99.98,2026-08-24T01:17:00+00:00
SET-000104,UTR-IND-00000104,1469.51,29.99,2026-08-05T04:38:00+00:00
SET-000105,UTR-IND-00000105,14699.02,299.98,2026-08-12T07:48:00+00:00
SET-000106,UTR-IND-00000106,783.02,15.98,2026-08-19T10:12:00+00:00
SET-000107,UTR-IND-00000107,489.02,9.98,2026-08-26T13:29:00+00:00
SET-000108,UTR-IND-00000108,1273.02,25.98,2026-08-08T16:40:00+00:00
SET-000109,UTR-IND-00000109,489.02,9.98,2026-08-15T20:00:00+00:00
SET-000110,UTR-IND-00000110,489.02,9.98,2026-08-22T22:15:00+00:00
SET-000111,UTR-IND-00000111,2449.02,49.98,2026-08-05T01:34:00+00:00
SET-000112,UTR-IND-00000112,14699.02,299.98,2026-08-11T04:49:00+00:00
SET-000113,UTR-IND-00000113,1469.51,29.99,2026-08-18T07:09:00+00:00
SET-000114,UTR-IND-00000114,293.02,5.98,2026-08-25T10:25:00+00:00
SET-000115,UTR-IND-00000115,14699.02,299.98,2026-08-07T13:41:00+00:00
SET-000116,UTR-IND-00000116,1469.51,29.99,2026-08-14T17:00:00+00:00
SET-000117,UTR-IND-00000117,489.02,9.98,2026-08-21T19:14:00+00:00
SET-000118,UTR-IND-00000118,1959.02,39.98,2026-08-03T22:33:00+00:00
SET-000119,UTR-IND-00000119,3429.02,69.98,2026-08-11T01:48:00+00:00
SET-000120,UTR-IND-00000120,293.02,5.98,2026-08-17T04:08:00+00:00
SET-000121,UTR-IND-00000121,4899.02,99.98,2026-08-24T07:20:00+00:00
SET-000122,UTR-IND-00000122,2939.02,59.98,2026-08-06T10:44:00+00:00
SET-000123,UTR-IND-00000123,9799.02,199.98,2026-08-13T13:53:00+00:00
SET-000124,UTR-IND-00000124,979.02,19.98,2026-08-20T16:12:00+00:00
SET-000125,UTR-IND-00000125,2939.02,59.98,2026-08-02T19:28:00+00:00
SET-000126,UTR-IND-00000126,14699.02,299.98,2026-08-09T22:49:00+00:00
SET-000127,UTR-IND-00000127,14699.02,299.98,2026-08-17T02:07:00+00:00
SET-000128,UTR-IND-00000128,1959.02,39.98,2026-08-23T04:18:00+00:00
SET-000129,UTR-IND-00000129,14699.02,299.98,2026-08-05T07:43:00+00:00
SET-000130,UTR-IND-00000130,1959.02,39.98,2026-08-12T10:58:00+00:00
SET-000131,UTR-IND-00000131,783.02,15.98,2026-08-19T13:14:00+00:00
SET-000132,UTR-IND-00000132,979.02,19.98,2026-08-26T16:34:00+00:00
SET-000133,UTR-IND-00000133,3429.02,69.98,2026-08-08T19:48:00+00:00
SET-000134,UTR-IND-00000134,9799.02,199.98,2026-08-15T23:08:00+00:00
SET-000135,UTR-IND-00000135,1273.02,25.98,2026-08-23T01:23:00+00:00
SET-000136,UTR-IND-00000136,9799.02,199.98,2026-08-04T04:38:00+00:00
SET-000137,UTR-IND-00000137,9799.02,199.98,2026-08-11T07:55:00+00:00
SET-000138,UTR-IND-00000138,3429.02,69.98,2026-08-18T10:14:00+00:00
SET-000139,UTR-IND-00000139,4899.02,99.98,2026-08-25T13:32:00+00:00
SET-000140,UTR-IND-00000140,24500.00,500.00,2026-08-07T16:50:00+00:00
SET-000141,UTR-IND-00000141,48999.02,999.98,2026-08-14T20:00:00+00:00
SET-000142,UTR-IND-00000142,3429.02,69.98,2026-08-21T22:17:00+00:00
SET-000143,UTR-IND-00000143,2449.02,49.98,2026-08-04T01:36:00+00:00
SET-000144,UTR-IND-00000144,1959.02,39.98,2026-08-10T04:50:00+00:00
SET-000145,UTR-IND-00000145,489.02,9.98,2026-08-17T07:14:00+00:00
SET-000146,UTR-IND-00000146,783.02,15.98,2026-08-24T10:30:00+00:00
SET-000147,UTR-IND-00000147,1959.02,39.98,2026-08-06T13:48:00+00:00
SET-000148,UTR-IND-00000148,9799.02,199.98,2026-08-13T17:00:00+00:00
SET-000149,UTR-IND-00000149,293.02,5.98,2026-08-20T19:21:00+00:00
SET-000150,UTR-IND-00000150,2449.02,49.98,2026-08-02T22:40:00+00:00
SET-000151,UTR-IND-00000151,24500.00,500.00,2026-08-10T01:57:00+00:00
SET-000152,UTR-IND-00000152,2449.02,49.98,2026-08-16T04:13:00+00:00
SET-000153,UTR-IND-00000153,1273.02,25.98,2026-08-23T07:31:00+00:00
SET-000154,UTR-IND-00000154,4899.02,99.98,2026-08-05T10:48:00+00:00
SET-000155,UTR-IND-00000155,14699.02,299.98,2026-08-12T13:59:00+00:00
SET-000156,UTR-IND-00000156,48999.02,999.98,2026-08-19T16:18:00+00:00
SET-000157,UTR-IND-00000157,2449.02,49.98,2026-08-26T19:39:00+00:00
SET-000158,UTR-IND-00000158,48999.02,999.98,2026-08-08T22:52:00+00:00
SET-000159,UTR-IND-00000159,24500.00,500.00,2026-08-16T01:09:00+00:00
SET-000160,UTR-IND-00000160,2449.02,49.98,2026-08-22T04:27:00+00:00
SET-000161,UTR-IND-00000161,4899.02,99.98,2026-08-04T07:41:00+00:00
SET-000162,UTR-IND-00000162,1273.02,25.98,2026-08-11T11:02:00+00:00
SET-000163,UTR-IND-00000163,1273.02,25.98,2026-08-18T13:14:00+00:00
SET-000164,UTR-IND-00000164,14699.02,299.98,2026-08-25T16:35:00+00:00
SET-000165,UTR-IND-00000165,24500.00,500.00,2026-08-07T19:47:00+00:00
SET-000166,UTR-IND-00000166,1959.02,39.98,2026-08-14T22:10:00+00:00
SET-000167,UTR-IND-00000167,293.02,5.98,2026-08-22T01:28:00+00:00
SET-000168,UTR-IND-00000168,293.02,5.98,2026-08-03T04:42:00+00:00
SET-000169,UTR-IND-00000169,9799.02,199.98,2026-08-10T08:03:00+00:00
SET-000170,UTR-IND-00000170,2449.02,49.98,2026-08-17T10:15:00+00:00
SET-000171,UTR-IND-00000171,2939.02,59.98,2026-08-24T13:36:00+00:00
SET-000172,UTR-IND-00000172,293.02,5.98,2026-08-06T16:51:00+00:00
SET-000173,UTR-IND-00000173,9799.02,199.98,2026-08-13T19:10:00+00:00
SET-000174,UTR-IND-00000174,1273.02,25.98,2026-08-20T22:26:00+00:00
SET-000175,UTR-IND-00000175,293.02,5.98,2026-08-03T01:43:00+00:00
SET-000176,UTR-IND-00000176,1273.02,25.98,2026-08-09T04:56:00+00:00
SET-000177,UTR-IND-00000177,489.02,9.98,2026-08-16T07:17:00+00:00
SET-000178,UTR-IND-00000178,4899.02,99.98,2026-08-23T10:35:00+00:00
SET-000179,UTR-IND-00000179,4899.02,99.98,2026-08-05T13:51:00+00:00
SET-000180,UTR-IND-00000180,2939.02,59.98,2026-08-12T16:06:00+00:00
SET-000181,UTR-IND-00000181,783.02,15.98,2026-08-19T19:19:00+00:00
SET-000182,UTR-IND-00000182,489.02,9.98,2026-08-26T22:39:00+00:00
SET-000183,UTR-IND-00000183,783.02,15.98,2026-08-09T01:53:00+00:00
SET-000184,UTR-IND-00000184,2449.02,49.98,2026-08-15T04:10:00+00:00
SET-000185,UTR-IND-00000185,1273.02,25.98,2026-08-22T07:29:00+00:00
SET-000186,UTR-IND-00000186,48999.02,999.98,2026-08-04T10:47:00+00:00
SET-000187,UTR-IND-00000187,24500.00,500.00,2026-08-11T14:06:00+00:00
SET-000188,UTR-IND-00000188,1469.51,29.99,2026-08-18T16:20:00+00:00
SET-000189,UTR-IND-00000189,3429.02,69.98,2026-08-25T19:35:00+00:00
SET-000190,UTR-IND-00000190,3429.02,69.98,2026-08-07T22:58:00+00:00
SET-000191,UTR-IND-00000191,1959.02,39.98,2026-08-15T01:12:00+00:00
SET-000192,UTR-IND-00000192,979.02,19.98,2026-08-21T04:27:00+00:00
SET-000193,UTR-IND-00000193,489.02,9.98,2026-08-03T07:51:00+00:00
SET-000194,UTR-IND-00000194,14699.02,299.98,2026-08-10T11:01:00+00:00
SET-000195,UTR-IND-00000195,4899.02,99.98,2026-08-17T13:23:00+00:00
SET-000196,UTR-IND-00000196,48999.02,999.98,2026-08-24T16:40:00+00:00
SET-000197,UTR-IND-00000197,7350.00,150.00,2026-08-06T19:53:00+00:00
SET-000198,UTR-IND-00000198,14699.02,299.98,2026-08-13T22:16:00+00:00
SET-000199,UTR-IND-00000199,2939.02,59.98,2026-08-21T01:32:00+00:00
SET-000200,UTR-IND-00000200,14699.02,299.98,2026-08-02T04:47:00+00:00
SET-000201,UTR-IND-00000201,2449.02,49.98,2026-08-09T08:03:00+00:00
SET-000202,UTR-IND-00000202,24500.00,500.00,2026-08-16T10:23:00+00:00
SET-000203,UTR-IND-00000203,9799.02,199.98,2026-08-23T13:33:00+00:00
SET-000204,UTR-IND-00000204,48999.02,999.98,2026-08-05T16:52:00+00:00
SET-000205,UTR-IND-00000205,48999.02,999.98,2026-08-12T19:12:00+00:00
SET-000206,UTR-IND-00000206,2939.02,59.98,2026-08-19T22:28:00+00:00
SET-000207,UTR-IND-00000207,2939.02,59.98,2026-08-27T01:49:00+00:00
SET-000208,UTR-IND-00000208,1959.02,39.98,2026-08-08T05:01:00+00:00
SET-000209,UTR-IND-00000209,14699.02,299.98,2026-08-15T07:23:00+00:00
SET-000210,UTR-IND-00000210,2449.02,49.98,2026-08-22T10:39:00+00:00
SET-000211,UTR-IND-00000211,24500.00,500.00,2026-08-04T13:50:00+00:00
SET-000212,UTR-IND-00000212,3429.02,69.98,2026-08-11T16:12:00+00:00
SET-000213,UTR-IND-00000213,2449.02,49.98,2026-08-18T19:28:00+00:00
SET-000214,UTR-IND-00000214,48999.02,999.98,2026-08-25T22:46:00+00:00
SET-000215,UTR-IND-00000215,4899.02,99.98,2026-08-08T02:04:00+00:00
SET-000216,UTR-IND-00000216,2939.02,59.98,2026-08-14T04:18:00+00:00
SET-000217,UTR-IND-00000217,2449.02,49.98,2026-08-21T07:34:00+00:00
SET-000218,UTR-IND-00000218,4899.02,99.98,2026-08-03T10:56:00+00:00
SET-000219,UTR-IND-00000219,1469.51,29.99,2026-08-10T13:08:00+00:00
SET-000220,UTR-IND-00000220,48999.02,999.98,2026-08-17T16:30:00+00:00
SET-000221,UTR-IND-00000221,3429.02,69.98,2026-08-24T19:42:00+00:00
SET-000222,UTR-IND-00000222,3429.02,69.98,2026-08-06T23:01:00+00:00
SET-000223,UTR-IND-00000223,1469.51,29.99,2026-08-14T01:13:00+00:00
SET-000224,UTR-IND-00000224,1273.02,25.98,2026-08-20T04:30:00+00:00
SET-000225,UTR-IND-00000225,489.02,9.98,2026-08-02T07:49:00+00:00
SET-000226,UTR-IND-00000226,48999.02,999.98,2026-08-09T10:04:00+00:00
SET-000227,UTR-IND-00000227,3429.02,69.98,2026-08-16T13:28:00+00:00
SET-000228,UTR-IND-00000228,24500.00,500.00,2026-08-23T16:40:00+00:00
SET-000229,UTR-IND-00000229,489.02,9.98,2026-08-05T20:02:00+00:00
SET-000230,UTR-IND-00000230,979.02,19.98,2026-08-12T22:18:00+00:00
SET-000231,UTR-IND-00000231,48999.02,999.98,2026-08-20T01:29:00+00:00
SET-000232,UTR-IND-00000232,1273.02,25.98,2026-08-26T04:50:00+00:00
SET-000233,UTR-IND-00000233,783.02,15.98,2026-08-08T07:04:00+00:00
SET-000234,UTR-IND-00000234,14699.02,299.98,2026-08-15T10:28:00+00:00
SET-000235,UTR-IND-00000235,9799.02,199.98,2026-08-22T13:44:00+00:00
SET-000236,UTR-IND-00000236,3429.02,69.98,2026-08-04T16:58:00+00:00
SET-000237,UTR-IND-00000237,489.02,9.98,2026-08-11T19:14:00+00:00
SET-000238,UTR-IND-00000238,1959.02,39.98,2026-08-18T22:29:00+00:00
SET-000239,UTR-IND-00000239,1469.51,29.99,2026-08-26T01:47:00+00:00
SET-000240,UTR-IND-00000240,783.02,15.98,2026-08-07T04:02:00+00:00
SET-000241,UTR-IND-00000241,14699.02,299.98,2026-08-14T07:26:00+00:00
SET-000242,UTR-IND-00000242,3429.02,69.98,2026-08-21T10:39:00+00:00
SET-000243,UTR-IND-00000243,3429.02,69.98,2026-08-03T14:00:00+00:00
SET-000244,UTR-IND-00000244,783.02,15.98,2026-08-10T16:14:00+00:00
SET-000245,UTR-IND-00000245,1959.02,39.98,2026-08-17T19:28:00+00:00
SET-000246,UTR-IND-00000246,2449.02,49.98,2026-08-24T22:48:00+00:00
SET-000247,UTR-IND-00000247,1273.02,25.98,2026-08-07T02:01:00+00:00
SET-000248,UTR-IND-00000248,1469.51,29.99,2026-08-13T04:22:00+00:00
SET-000249,UTR-IND-00000249,24500.00,500.00,2026-08-20T07:42:00+00:00
SET-000250,UTR-IND-00000250,3429.02,69.98,2026-08-02T10:56:00+00:00
SET-000251,UTR-IND-00000251,48999.02,999.98,2026-08-09T13:10:00+00:00
SET-000252,UTR-IND-00000252,489.02,9.98,2026-08-16T16:31:00+00:00
SET-000253,UTR-IND-00000253,2939.02,59.98,2026-08-23T19:44:00+00:00
SET-000254,UTR-IND-00000254,2449.02,49.98,2026-08-05T23:04:00+00:00
SET-000255,UTR-IND-00000255,489.02,9.98,2026-08-13T01:24:00+00:00
SET-000256,UTR-IND-00000256,24500.00,500.00,2026-08-19T04:36:00+00:00
SET-000257,UTR-IND-00000257,14699.02,299.98,2026-08-26T07:52:00+00:00
SET-000258,UTR-IND-00000258,48999.02,999.98,2026-08-08T10:14:00+00:00
SET-000259,UTR-IND-00000259,4899.02,99.98,2026-08-15T13:26:00+00:00
SET-000260,UTR-IND-00000260,1469.51,29.99,2026-08-22T16:48:00+00:00
SET-000261,UTR-IND-00000261,48999.02,999.98,2026-08-04T20:05:00+00:00
SET-000262,UTR-IND-00000262,489.02,9.98,2026-08-11T22:17:00+00:00
SET-000263,UTR-IND-00000263,4899.02,99.98,2026-08-19T01:38:00+00:00
SET-000264,UTR-IND-00000264,979.02,19.98,2026-08-25T04:58:00+00:00
SET-000265,UTR-IND-00000265,293.02,5.98,2026-08-07T07:13:00+00:00
SET-000266,UTR-IND-00000266,489.02,9.98,2026-08-14T10:32:00+00:00
SET-000267,UTR-IND-00000267,7350.00,150.00,2026-08-21T13:48:00+00:00
SET-000268,UTR-IND-00000268,489.02,9.98,2026-08-03T17:02:00+00:00
SET-000269,UTR-IND-00000269,1273.02,25.98,2026-08-10T19:22:00+00:00
SET-000270,UTR-IND-00000270,48999.02,999.98,2026-08-17T22:32:00+00:00
SET-000271,UTR-IND-00000271,2449.02,49.98,2026-08-25T01:53:00+00:00
SET-000272,UTR-IND-00000272,293.02,5.98,2026-08-06T04:07:00+00:00
SET-000273,UTR-IND-00000273,2449.02,49.98,2026-08-13T07:30:00+00:00
SET-000274,UTR-IND-00000274,979.02,19.98,2026-08-20T10:47:00+00:00
SET-000275,UTR-IND-00000275,3429.02,69.98,2026-08-02T14:03:00+00:00
SET-000276,UTR-IND-00000276,48999.02,999.98,2026-08-09T16:17:00+00:00
SET-000277,UTR-IND-00000277,24500.00,500.00,2026-08-16T19:37:00+00:00
SET-000278,UTR-IND-00000278,1959.02,39.98,2026-08-23T22:49:00+00:00
SET-000279,UTR-IND-00000279,2939.02,59.98,2026-08-06T01:10:00+00:00
SET-000280,UTR-IND-00000280,2939.02,59.98,2026-08-12T04:26:00+00:00
SET-000281,UTR-IND-00000281,3429.02,69.98,2026-08-19T07:41:00+00:00
SET-000282,UTR-IND-00000282,24500.00,500.00,2026-08-26T11:01:00+00:00
SET-000283,UTR-IND-00000283,4899.02,99.98,2026-08-08T13:20:00+00:00
SET-000284,UTR-IND-00000284,4899.02,99.98,2026-08-15T16:33:00+00:00
SET-000285,UTR-IND-00000285,9799.02,199.98,2026-08-22T19:53:00+00:00
SET-000286,UTR-IND-00000286,489.02,9.98,2026-08-04T22:11:00+00:00
SET-000287,UTR-IND-00000287,9799.02,199.98,2026-08-12T01:23:00+00:00
SET-000288,UTR-IND-00000288,48999.02,999.98,2026-08-18T04:40:00+00:00
SET-000289,UTR-IND-00000289,4899.02,99.98,2026-08-25T08:02:00+00:00
SET-000290,UTR-IND-00000290,979.02,19.98,2026-08-07T10:12:00+00:00
SET-000291,UTR-IND-00000291,1273.02,25.98,2026-08-14T13:31:00+00:00
SET-000292,UTR-IND-00000292,783.02,15.98,2026-08-21T16:50:00+00:00
SET-000293,UTR-IND-00000293,4899.02,99.98,2026-08-03T19:04:00+00:00
SET-000294,UTR-IND-00000294,4899.02,99.98,2026-08-10T22:25:00+00:00
SET-000295,UTR-IND-00000295,48999.02,999.98,2026-08-18T01:38:00+00:00
SET-000296,UTR-IND-00000296,2449.02,49.98,2026-08-24T04:57:00+00:00
SET-000297,UTR-IND-00000297,783.02,15.98,2026-08-06T07:12:00+00:00
SET-000298,UTR-IND-00000298,979.02,19.98,2026-08-13T10:30:00+00:00
SET-000299,UTR-IND-00000299,3429.02,69.98,2026-08-20T13:45:00+00:00
SET-000300,UTR-IND-00000300,4899.02,99.98,2026-08-02T16:06:00+00:00
SET-000301,UTR-IND-00000301,7350.00,150.00,2026-08-09T19:25:00+00:00
SET-000302,UTR-IND-00000302,1273.02,25.98,2026-08-16T22:44:00+00:00
SET-000303,UTR-IND-00000303,14699.02,299.98,2026-08-24T01:55:00+00:00
SET-000304,UTR-IND-00000304,1469.51,29.99,2026-08-05T04:16:00+00:00
SET-000305,UTR-IND-00000305,2449.02,49.98,2026-08-12T07:29:00+00:00
SET-000306,UTR-IND-00000306,2449.02,49.98,2026-08-19T10:48:00+00:00
SET-000307,UTR-IND-00000307,24500.00,500.00,2026-08-26T14:01:00+00:00
SET-000308,UTR-IND-00000308,24500.00,500.00,2026-08-08T16:26:00+00:00
SET-000309,UTR-IND-00000309,1469.51,29.99,2026-08-15T19:42:00+00:00
SET-000310,UTR-IND-00000310,7350.00,150.00,2026-08-22T22:58:00+00:00
SET-000311,UTR-IND-00000311,2939.02,59.98,2026-08-05T01:13:00+00:00
SET-000312,UTR-IND-00000312,1959.02,39.98,2026-08-11T04:33:00+00:00
SET-000313,UTR-IND-00000313,979.02,19.98,2026-08-18T07:49:00+00:00
SET-000314,UTR-IND-00000314,7350.00,150.00,2026-08-25T11:04:00+00:00
SET-000315,UTR-IND-00000315,293.02,5.98,2026-08-07T13:21:00+00:00
SET-000316,UTR-IND-00000316,293.02,5.98,2026-08-14T16:41:00+00:00
SET-000317,UTR-IND-00000317,3429.02,69.98,2026-08-21T19:56:00+00:00
SET-000318,UTR-IND-00000318,2449.02,49.98,2026-08-03T22:12:00+00:00
SET-000319,UTR-IND-00000319,1273.02,25.98,2026-08-11T01:25:00+00:00
SET-000320,UTR-IND-00000320,3429.02,69.98,2026-08-17T04:42:00+00:00
SET-000321,UTR-IND-00000321,7350.00,150.00,2026-08-24T08:00:00+00:00
SET-000322,UTR-IND-00000322,3429.02,69.98,2026-08-06T10:22:00+00:00
SET-000323,UTR-IND-00000323,1469.51,29.99,2026-08-13T13:35:00+00:00
SET-000324,UTR-IND-00000324,7350.00,150.00,2026-08-20T16:52:00+00:00
SET-000325,UTR-IND-00000325,2939.02,59.98,2026-08-02T19:11:00+00:00
SET-000326,UTR-IND-00000326,4899.02,99.98,2026-08-09T22:31:00+00:00
