payment_id,order_id,amount,method,utr,created_at,status
PAY-000018,ORD-000018,999.00,WALLET,UTR-IND-00000018,2026-08-02T06:12:00+00:00,SUCCESS
PAY-000019,ORD-000019,25000.00,NETBANKING,UTR-IND-00000019,2026-08-09T09:27:00+00:00,SUCCESS
PAY-000020,ORD-000020,7500.00,NETBANKING,UTR-IND-00000020,2026-08-16T12:45:00+00:00,SUCCESS
PAY-000021,ORD-000021,2999.00,UPI,UTR-IND-00000021,2026-08-23T16:01:00+00:00,SUCCESS
PAY-000022,ORD-000022,2499.00,CARD,UTR-IND-00000022,2026-08-05T18:23:00+00:00,SUCCESS
PAY-000023,ORD-000023,9999.00,NETBANKING,UTR-IND-00000023,2026-08-12T21:41:00+00:00,SUCCESS
PAY-000024,ORD-000024,2499.00,NETBANKING,UTR-IND-00000024,2026-08-19T00:50:00+00:00,SUCCESS
PAY-000025,ORD-000025,2499.00,UPI,UTR-IND-00000025,2026-08-01T03:12:00+00:00,SUCCESS
PAY-000026,ORD-000026,9999.00,NETBANKING,UTR-IND-00000026,2026-08-08T06:25:00+00:00,SUCCESS
PAY-000027,ORD-000027,1999.00,NETBANKING,UTR-IND-00000027,2026-08-15T09:44:00+00:00,SUCCESS
PAY-000028,ORD-000028,49999.00,WALLET,UTR-IND-00000028,2026-08-22T13:05:00+00:00,SUCCESS
PAY-000029,ORD-000029,1299.00,NETBANKING,UTR-IND-00000029,2026-08-04T15:17:00+00:00,SUCCESS
PAY-000030,ORD-000030,2499.00,NETBANKING,UTR-IND-00000030,2026-08-11T18:38:00+00:00,SUCCESS
PAY-000031,ORD-000031,9999.00,NETBANKING,UTR-IND-00000031,2026-08-18T21:52:00+00:00,SUCCESS
PAY-000032,ORD-000032,1299.00,WALLET,UTR-IND-00000032,2026-08-25T00:07:00+00:00,SUCCESS
PAY-000033,ORD-000033,499.00,UPI,UTR-IND-00000033,2026-08-07T03:25:00+00:00,SUCCESS
PAY-000034,ORD-000034,1499.50,WALLET,UTR-IND-00000034,2026-08-14T06:41:00+00:00,SUCCESS
PAY-000035,ORD-000035,9999.00,WALLET,UTR-IND-00000035,2026-08-21T10:04:00+00:00,SUCCESS
PAY-000036,ORD-000036,2999.00,UPI,UTR-IND-00000036,2026-08-03T12:15:00+00:00,SUCCESS
PAY-000037,ORD-000037,2999.00,NETBANKING,UTR-IND-00000037,2026-08-10T15:32:00+00:00,SUCCESS
PAY-000038,ORD-000038,3499.00,WALLET,UTR-IND-00000038,2026-08-17T18:50:00+00:00,SUCCESS
PAY-000039,ORD-000039,25000.00,UPI,UTR-IND-00000039,2026-08-24T21:09:00+00:00,SUCCESS
PAY-000040,ORD-000040,1499.50,UPI,UTR-IND-00000040,2026-08-06T00:26:00+00:00,SUCCESS
PAY-000041,ORD-000041,1999.00,CARD,UTR-IND-00000041,2026-08-13T03:44:00+00:00,SUCCESS
PAY-000042,ORD-000042,1499.50,UPI,UTR-IND-00000042,2026-08-20T07:01:00+00:00,SUCCESS
PAY-000043,ORD-000043,49999.00,UPI,UTR-IND-00000043,2026-08-02T09:14:00+00:00,SUCCESS
PAY-000044,ORD-000044,7500.00,NETBANKING,UTR-IND-00000044,2026-08-09T12:33:00+00:00,SUCCESS
PAY-000045,ORD-000045,499.00,CARD,UTR-IND-00000045,2026-08-16T15:48:00+00:00,SUCCESS
PAY-000046,ORD-000046,799.00,WALLET,UTR-IND-00000046,2026-08-23T18:05:00+00:00,SUCCESS
PAY-000047,ORD-000047,1299.00,CARD,UTR-IND-00000047,2026-08-05T21:28:00+00:00,SUCCESS
PAY-000048,ORD-000048,1499.50,NETBANKING,UTR-IND-00000048,2026-08-12T00:46:00+00:00,SUCCESS
PAY-000049,ORD-000049,14999.00,CARD,UTR-IND-00000049,2026-08-19T04:03:00+00:00,SUCCESS
PAY-000050,ORD-000050,1999.00,NETBANKING,UTR-IND-00000050,2026-08-01T06:18:00+00:00,SUCCESS
PAY-000051,ORD-000051,7500.00,WALLET,UTR-IND-00000051,2026-08-08T09:37:00+00:00,SUCCESS
PAY-000052,ORD-000052,25000.00,UPI,UTR-IND-00000052,2026-08-15T12:49:00+00:00,SUCCESS
PAY-000053,ORD-000053,2499.00,UPI,UTR-IND-00000053,2026-08-22T15:08:00+00:00,SUCCESS
PAY-000054,ORD-000054,299.00,CARD,UTR-IND-00000054,2026-08-04T18:23:00+00:00,SUCCESS
PAY-000055,ORD-000055,299.00,UPI,UTR-IND-00000055,2026-08-11T21:37:00+00:00,SUCCESS
PAY-000056,ORD-000056,2499.00,UPI,UTR-IND-00000056,2026-08-18T00:54:00+00:00,SUCCESS
PAY-000057,ORD-000057,4999.00,UPI,UTR-IND-00000057,2026-08-25T03:19:00+00:00,SUCCESS
PAY-000058,ORD-000058,2499.00,NETBANKING,UTR-IND-00000058,2026-08-07T06:35:00+00:00,SUCCESS
PAY-000059,ORD-000059,1999.00,CARD,UTR-IND-00000059,2026-08-14T09:52:00+00:00,SUCCESS
PAY-000060,ORD-000060,2499.00,WALLET,UTR-IND-00000060,2026-08-21T12:08:00+00:00,SUCCESS
PAY-000061,ORD-000061,1999.00,UPI,UTR-IND-00000061,2026-08-03T15:20:00+00:00,SUCCESS
PAY-000062,ORD-000062,14999.00,NETBANKING,UTR-IND-00000062,2026-08-10T18:42:00+00:00,SUCCESS
PAY-000063,ORD-000063,14999.00,WALLET,UTR-IND-00000063,2026-08-17T21:53:00+00:00,SUCCESS
PAY-000064,ORD-000064,999.00,UPI,UTR-IND-00000064,2026-08-24T00:16:00+00:00,SUCCESS
PAY-000065,ORD-000065,4999.00,UPI,UTR-IND-00000065,2026-08-06T03:30:00+00:00,SUCCESS
PAY-000066,ORD-000066,1999.00,CARD,UTR-IND-00000066,2026-08-13T06:52:00+00:00,SUCCESS
PAY-000067,ORD-000067,25000.00,CARD,UTR-IND-00000067,2026-08-20T10:07:00+00:00,SUCCESS
PAY-000068,ORD-000068,1499.50,NETBANKING,UTR-IND-00000068,2026-08-02T12:25:00+00:00,SUCCESS
PAY-000069,ORD-000069,2499.00,UPI,UTR-IND-00000069,2026-08-09T15:42:00+00:00,SUCCESS
PAY-000070,ORD-000070,999.00,UPI,UTR-IND-00000070,2026-08-16T19:00:00+00:00,SUCCESS
PAY-000071,ORD-000071,299.00,UPI,UTR-IND-00000071,2026-08-23T21:12:00+00:00,SUCCESS
PAY-000072,ORD-000072,1499.50,WALLET,UTR-IND-00000072,2026-08-05T00:33:00+00:00,SUCCESS
PAY-000073,ORD-000073,49999.00,CARD,UTR-IND-00000073,2026-08-12T03:49:00+00:00,SUCCESS
PAY-000074,ORD-000074,499.00,CARD,UTR-IND-00000074,2026-08-19T07:06:00+00:00,SUCCESS
PAY-000075,ORD-000075,299.00,WALLET,UTR-IND-00000075,2026-08-01T09:21:00+00:00,SUCCESS
PAY-000076,ORD-000076,25000.00,NETBANKING,UTR-IND-00000076,2026-08-08T12:40:00+00:00,SUCCESS
PAY-000077,ORD-000077,49999.00,CARD,UTR-IND-00000077,2026-08-15T15:54:00+00:00,SUCCESS
PAY-000078,ORD-000078,3499.00,CARD,UTR-IND-00000078,2026-08-22T18:08:00+00:00,SUCCESS
PAY-000079,ORD-000079,499.00,NETBANKING,UTR-IND-00000079,2026-08-04T21:25:00+00:00,SUCCESS
PAY-000080,ORD-000080,499.00,WALLET,UTR-IND-00000080,2026-08-11T00:50:00+00:00,SUCCESS
PAY-000081,ORD-000081,1499.50,UPI,UTR-IND-00000081,2026-08-18T04:07:00+00:00,SUCCESS
PAY-000082,ORD-000082,799.00,CARD,UTR-IND-00000082,2026-08-25T06:17:00+00:00,SUCCESS
PAY-000083,ORD-000083,799.00,CARD,UTR-IND-00000083,2026-08-07T09:39:00+00:00,SUCCESS
PAY-000084,ORD-000084,999.00,CARD,UTR-IND-00000084,2026-08-14T12:50:00+00:00,SUCCESS
PAY-000085,ORD-000085,799.00,WALLET,UTR-IND-00000085,2026-08-21T15:15:00+00:00,SUCCESS
PAY-000086,ORD-000086,4999.00,NETBANKING,UTR-IND-00000086,2026-08-03T18:27:00+00:00,SUCCESS
PAY-000087,ORD-000087,4999.00,CARD,UTR-IND-00000087,2026-08-10T21:45:00+00:00,SUCCESS
PAY-000088,ORD-000088,9999.00,CARD,UTR-IND-00000088,2026-08-17T01:02:00+00:00,SUCCESS
PAY-000089,ORD-000089,25000.00,NETBANKING,UTR-IND-00000089,2026-08-24T03:16:00+00:00,SUCCESS
PAY-000090,ORD-000090,299.00,WALLET,UTR-IND-00000090,2026-08-06T06:33:00+00:00,SUCCESS
PAY-000091,ORD-000091,799.00,CARD,UTR-IND-00000091,2026-08-13T09:57:00+00:00,SUCCESS
PAY-000092,ORD-000092,2999.00,CARD,UTR-IND-00000092,2026-08-20T12:11:00+00:00,SUCCESS
PAY-000093,ORD-000093,799.00,CARD,UTR-IND-00000093,2026-08-02T15:28:00+00:00,SUCCESS
PAY-000094,ORD-000094,3499.00,CARD,UTR-IND-00000094,2026-08-09T18:47:00+00:00,SUCCESS
PAY-000095,ORD-000095,3499.00,UPI,UTR-IND-00000095,2026-08-16T22:05:00+00:00,SUCCESS
PAY-000096,ORD-000096,3499.00,UPI,UTR-IND-00000096,2026-08-23T00:16:00+00:00,SUCCESS
PAY-000097,ORD-000097,2999.00,UPI,UTR-IND-00000097,2026-08-05T03:32:00+00:00,SUCCESS
PAY-000098,ORD-000098,1299.00,NETBANKING,UTR-IND-00000098,2026-08-12T06:52:00+00:00,SUCCESS
PAY-000099,ORD-000099,1999.00,NETBANKING,UTR-IND-00000099,2026-08-19T09:08:00+00:00,SUCCESS
PAY-000100,ORD-000100,2999.00,WALLET,UTR-IND-00000100,2026-08-01T12:26:00+00:00,SUCCESS
PAY-000101,ORD-000101,499.00,UPI,UTR-IND-00000101,2026-08-08T15:45:00+00:00,SUCCESS
PAY-000102,ORD-000102,2999.00,UPI,UTR-IND-00000102,2026-08-15T18:56:00+00:00,SUCCESS
PAY-000103,ORD-000103,4999.00,CARD,UTR-IND-00000103,2026-08-22T21:17:00+00:00,SUCCESS
PAY-000104,ORD-000104,1499.50,WALLET,UTR-IND-00000104,2026-08-04T00:38:00+00:00,SUCCESS
PAY-000105,ORD-000105,14999.00,UPI,UTR-IND-00000105,2026-08-11T03:48:00+00:00,SUCCESS
PAY-000106,ORD-000106,799.00,CARD,UTR-IND-00000106,2026-08-18T06:12:00+00:00,SUCCESS
PAY-000107,ORD-000107,499.00,NETBANKING,UTR-IND-00000107,2026-08-25T09:29:00+00:00,SUCCESS
PAY-000108,ORD-000108,1299.00,WALLET,UTR-IND-00000108,2026-08-07T12:40:00+00:00,SUCCESS
PAY-000109,ORD-000109,499.00,NETBANKING,UTR-IND-00000109,2026-08-14T16:00:00+00:00,SUCCESS
PAY-000110,ORD-000110,499.00,NETBANKING,UTR-IND-00000110,2026-08-21T18:15:00+00:00,SUCCESS
PAY-000111,ORD-000111,2499.00,UPI,UTR-IND-00000111,2026-08-03T21:34:00+00:00,SUCCESS
PAY-000112,ORD-000112,14999.00,CARD,UTR-IND-00000112,2026-08-10T00:49:00+00:00,SUCCESS
PAY-000113,ORD-000113,1499.50,CARD,UTR-IND-00000113,2026-08-17T03:09:00+00:00,SUCCESS
PAY-000114,ORD-000114,299.00,CARD,UTR-IND-00000114,2026-08-24T06:25:00+00:00,SUCCESS
PAY-000115,ORD-000115,14999.00,CARD,UTR-IND-00000115,2026-08-06T09:41:00+00:00,SUCCESS
PAY-000116,ORD-000116,1499.50,UPI,UTR-IND-00000116,2026-08-13T13:00:00+00:00,SUCCESS
PAY-000117,ORD-000117,499.00,WALLET,UTR-IND-00000117,2026-08-20T15:14:00+00:00,SUCCESS
PAY-000118,ORD-000118,1999.00,WALLET,UTR-IND-00000118,2026-08-02T18:33:00+00:00,SUCCESS
PAY-000119,ORD-000119,3499.00,CARD,UTR-IND-00000119,2026-08-09T21:48:00+00:00,SUCCESS
PAY-000120,ORD-000120,299.00,CARD,UTR-IND-00000120,2026-08-16T00:08:00+00:00,SUCCESS
PAY-000121,ORD-000121,4999.00,NETBANKING,UTR-IND-00000121,2026-08-23T03:20:00+00:00,SUCCESS
PAY-000122,ORD-000122,2999.00,NETBANKING,UTR-IND-00000122,2026-08-05T06:44:00+00:00,SUCCESS
PAY-000123,ORD-000123,9999.00,NETBANKING,UTR-IND-00000123,2026-08-12T09:53:00+00:00,SUCCESS
PAY-000124,ORD-000124,999.00,NETBANKING,UTR-IND-00000124,2026-08-19T12:12:00+00:00,SUCCESS
PAY-000125,ORD-000125,2999.00,UPI,UTR-IND-00000125,2026-08-01T15:28:00+00:00,SUCCESS
PAY-000126,ORD-000126,14999.00,NETBANKING,UTR-IND-00000126,2026-08-08T18:49:00+00:00,SUCCESS
PAY-000127,ORD-000127,14999.00,UPI,UTR-IND-00000127,2026-08-15T22:07:00+00:00,SUCCESS
PAY-000128,ORD-000128,1999.00,NETBANKING,UTR-IND-00000128,2026-08-22T00:18:00+00:00,SUCCESS
PAY-000129,ORD-000129,14999.00,UPI,UTR-IND-00000129,2026-08-04T03:43:00+00:00,SUCCESS
PAY-000130,ORD-000130,1999.00,NETBANKING,UTR-IND-00000130,2026-08-11T06:58:00+00:00,SUCCESS
PAY-000131,ORD-000131,799.00,NETBANKING,UTR-IND-00000131,2026-08-18T09:14:00+00:00,SUCCESS
PAY-000132,ORD-000132,999.00,NETBANKING,UTR-IND-00000132,2026-08-25T12:34:00+00:00,SUCCESS
PAY-000133,ORD-000133,3499.00,WALLET,UTR-IND-00000133,2026-08-07T15:48:00+00:00,SUCCESS
PAY-000134,ORD-000134,9999.00,NETBANKING,UTR-IND-00000134,2026-08-14T19:08:00+00:00,SUCCESS
PAY-000135,ORD-000135,1299.00,CARD,UTR-IND-00000135,2026-08-21T21:23:00+00:00,SUCCESS
PAY-000136,ORD-000136,9999.00,CARD,UTR-IND-00000136,2026-08-03T00:38:00+00:00,SUCCESS
PAY-000137,ORD-000137,9999.00,UPI,UTR-IND-00000137,2026-08-10T03:55:00+00:00,SUCCESS
PAY-000138,ORD-000138,3499.00,CARD,UTR-IND-00000138,2026-08-17T06:14:00+00:00,SUCCESS
PAY-000139,ORD-000139,4999.00,WALLET,UTR-IND-00000139,2026-08-24T09:32:00+00:00,SUCCESS
PAY-000140,ORD-000140,25000.00,CARD,UTR-IND-00000140,2026-08-06T12:50:00+00:00,SUCCESS
PAY-000141,ORD-000141,49999.00,CARD,UTR-IND-00000141,2026-08-13T16:00:00+00:00,SUCCESS
PAY-000142,ORD-000142,3499.00,NETBANKING,UTR-IND-00000142,2026-08-20T18:17:00+00:00,SUCCESS
PAY-000143,ORD-000143,2499.00,NETBANKING,UTR-IND-00000143,2026-08-02T21:36:00+00:00,SUCCESS
PAY-000144,ORD-000144,1999.00,CARD,UTR-IND-00000144,2026-08-09T00:50:00+00:00,SUCCESS
PAY-000145,ORD-000145,499.00,CARD,UTR-IND-00000145,2026-08-16T03:14:00+00:00,SUCCESS
PAY-000146,ORD-000146,799.00,WALLET,UTR-IND-00000146,2026-08-23T06:30:00+00:00,SUCCESS
PAY-000147,ORD-000147,1999.00,WALLET,UTR-IND-00000147,2026-08-05T09:48:00+00:00,SUCCESS
PAY-000148,ORD-000148,9999.00,CARD,UTR-IND-00000148,2026-08-12T13:00:00+00:00,SUCCESS
PAY-000149,ORD-000149,299.00,UPI,UTR-IND-00000149,2026-08-19T15:21:00+00:00,SUCCESS
PAY-000150,ORD-000150,2499.00,CARD,UTR-IND-00000150,2026-08-01T18:40:00+00:00,SUCCESS
PAY-000151,ORD-000151,25000.00,UPI,UTR-IND-00000151,2026-08-08T21:57:00+00:00,SUCCESS
PAY-000152,ORD-000152,2499.00,UPI,UTR-IND-00000152,2026-08-15T00:13:00+00:00,SUCCESS
PAY-000153,ORD-000153,1299.00,WALLET,UTR-IND-00000153,2026-08-22T03:31:00+00:00,SUCCESS
PAY-000154,ORD-000154,4999.00,WALLET,UTR-IND-00000154,2026-08-04T06:48:00+00:00,SUCCESS
PAY-000155,ORD-000155,14999.00,WALLET,UTR-IND-00000155,2026-08-11T09:59:00+00:00,SUCCESS
PAY-000156,ORD-000156,49999.00,WALLET,UTR-IND-00000156,2026-08-18T12:18:00+00:00,SUCCESS
PAY-000157,ORD-000157,2499.00,NETBANKING,UTR-IND-00000157,2026-08-25T15:39:00+00:00,SUCCESS
PAY-000158,ORD-000158,49999.00,CARD,UTR-IND-00000158,2026-08-07T18:52:00+00:00,SUCCESS
PAY-000159,ORD-000159,25000.00,UPI,UTR-IND-00000159,2026-08-14T21:09:00+00:00,SUCCESS
PAY-000160,ORD-000160,2499.00,NETBANKING,UTR-IND-00000160,2026-08-21T00:27:00+00:00,SUCCESS
PAY-000161,ORD-000161,4999.00,UPI,UTR-IND-00000161,2026-08-03T03:41:00+00:00,SUCCESS
PAY-000162,ORD-000162,1299.00,CARD,UTR-IND-00000162,2026-08-10T07:02:00+00:00,SUCCESS
PAY-000163,ORD-000163,1299.00,CARD,UTR-IND-00000163,2026-08-17T09:14:00+00:00,SUCCESS
PAY-000164,ORD-000164,14999.00,WALLET,UTR-IND-00000164,2026-08-24T12:35:00+00:00,SUCCESS
PAY-000165,ORD-000165,25000.00,WALLET,UTR-IND-00000165,2026-08-06T15:47:00+00:00,SUCCESS
PAY-000166,ORD-000166,1999.00,WALLET,UTR-IND-00000166,2026-08-13T18:10:00+00:00,SUCCESS
PAY-000167,ORD-000167,299.00,WALLET,UTR-IND-00000167,2026-08-20T21:28:00+00:00,SUCCESS
PAY-000168,ORD-000168,299.00,NETBANKING,UTR-IND-00000168,2026-08-02T00:42:00+00:00,SUCCESS
PAY-000169,ORD-000169,9999.00,WALLET,UTR-IND-00000169,2026-08-09T04:03:00+00:00,SUCCESS
PAY-000170,ORD-000170,2499.00,WALLET,UTR-IND-00000170,2026-08-16T06:15:00+00:00,SUCCESS
PAY-000171,ORD-000171,2999.00,WALLET,UTR-IND-00000171,2026-08-23T09:36:00+00:00,SUCCESS
PAY-000172,ORD-000172,299.00,WALLET,UTR-IND-00000172,2026-08-05T12:51:00+00:00,SUCCESS
PAY-000173,ORD-000173,9999.00,CARD,UTR-IND-00000173,2026-08-12T15:10:00+00:00,SUCCESS
PAY-000174,ORD-000174,1299.00,UPI,UTR-IND-00000174,2026-08-19T18:26:00+00:00,SUCCESS
PAY-000175,ORD-000175,299.00,UPI,UTR-IND-00000175,2026-08-01T21:43:00+00:00,SUCCESS
PAY-000176,ORD-000176,1299.00,WALLET,UTR-IND-00000176,2026-08-08T00:56:00+00:00,SUCCESS
PAY-000177,ORD-000177,499.00,NETBANKING,UTR-IND-00000177,2026-08-15T03:17:00+00:00,SUCCESS
PAY-000178,ORD-000178,4999.00,CARD,UTR-IND-00000178,2026-08-22T06:35:00+00:00,SUCCESS
PAY-000179,ORD-000179,4999.00,NETBANKING,UTR-IND-00000179,2026-08-04T09:51:00+00:00,SUCCESS
PAY-000180,ORD-000180,2999.00,WALLET,UTR-IND-00000180,2026-08-11T12:06:00+00:00,SUCCESS
PAY-000181,ORD-000181,799.00,WALLET,UTR-IND-00000181,2026-08-18T15:19:00+00:00,SUCCESS
PAY-000182,ORD-000182,499.00,NETBANKING,UTR-IND-00000182,2026-08-25T18:39:00+00:00,SUCCESS
PAY-000183,ORD-000183,799.00,UPI,UTR-IND-00000183,2026-08-07T21:53:00+00:00,SUCCESS
PAY-000184,ORD-000184,2499.00,CARD,UTR-IND-00000184,2026-08-14T00:10:00+00:00,SUCCESS
PAY-000185,ORD-000185,1299.00,CARD,UTR-IND-00000185,2026-08-21T03:29:00+00:00,SUCCESS
PAY-000186,ORD-000186,49999.00,UPI,UTR-IND-00000186,2026-08-03T06:47:00+00:00,SUCCESS
PAY-000187,ORD-000187,25000.00,NETBANKING,UTR-IND-00000187,2026-08-10T10:06:00+00:00,SUCCESS
PAY-000188,ORD-000188,1499.50,UPI,UTR-IND-00000188,2026-08-17T12:20:00+00:00,SUCCESS
PAY-000189,ORD-000189,3499.00,UPI,UTR-IND-00000189,2026-08-24T15:35:00+00:00,SUCCESS
PAY-000190,ORD-000190,3499.00,WALLET,UTR-IND-00000190,2026-08-06T18:58:00+00:00,SUCCESS
PAY-000191,ORD-000191,1999.00,UPI,UTR-IND-00000191,2026-08-13T21:12:00+00:00,SUCCESS
PAY-000192,ORD-000192,999.00,NETBANKING,UTR-IND-00000192,2026-08-20T00:27:00+00:00,SUCCESS
PAY-000193,ORD-000193,499.00,NETBANKING,UTR-IND-00000193,2026-08-02T03:51:00+00:00,SUCCESS
PAY-000194,ORD-000194,14999.00,NETBANKING,UTR-IND-00000194,2026-08-09T07:01:00+00:00,SUCCESS
PAY-000195,ORD-000195,4999.00,UPI,UTR-IND-00000195,2026-08-16T09:23:00+00:00,SUCCESS
PAY-000196,ORD-000196,49999.00,UPI,UTR-IND-00000196,2026-08-23T12:40:00+00:00,SUCCESS
PAY-000197,ORD-000197,7500.00,WALLET,UTR-IND-00000197,2026-08-05T15:53:00+00:00,SUCCESS
PAY-000198,ORD-000198,14999.00,CARD,UTR-IND-00000198,2026-08-12T18:16:00+00:00,SUCCESS
PAY-000199,ORD-000199,2999.00,WALLET,UTR-IND-00000199,2026-08-19T21:32:00+00:00,SUCCESS
PAY-000200,ORD-000200,14999.00,NETBANKING,UTR-IND-00000200,2026-08-01T00:47:00+00:00,SUCCESS
PAY-000201,ORD-000201,2499.00,UPI,UTR-IND-00000201,2026-08-08T04:03:00+00:00,SUCCESS
PAY-000202,ORD-000202,25000.00,CARD,UTR-IND-00000202,2026-08-15T06:23:00+00:00,SUCCESS
PAY-000203,ORD-000203,9999.00,NETBANKING,UTR-IND-00000203,2026-08-22T09:33:00+00:00,SUCCESS
PAY-000204,ORD-000204,49999.00,NETBANKING,UTR-IND-00000204,2026-08-04T12:52:00+00:00,SUCCESS
PAY-000205,ORD-000205,49999.00,CARD,UTR-IND-00000205,2026-08-11T15:12:00+00:00,SUCCESS
PAY-000206,ORD-000206,2999.00,NETBANKING,UTR-IND-00000206,2026-08-18T18:28:00+00:00,SUCCESS
PAY-000207,ORD-000207,2999.00,UPI,UTR-IND-00000207,2026-08-25T21:49:00+00:00,SUCCESS
PAY-000208,ORD-000208,1999.00,UPI,UTR-IND-00000208,2026-08-07T01:01:00+00:00,SUCCESS
PAY-000209,ORD-000209,14999.00,WALLET,UTR-IND-00000209,2026-08-14T03:23:00+00:00,SUCCESS
PAY-000210,ORD-000210,2499.00,WALLET,UTR-IND-00000210,2026-08-21T06:39:00+00:00,SUCCESS
PAY-000211,ORD-000211,25000.00,UPI,UTR-IND-00000211,2026-08-03T09:50:00+00:00,SUCCESS
PAY-000212,ORD-000212,3499.00,CARD,UTR-IND-00000212,2026-08-10T12:12:00+00:00,SUCCESS
PAY-000213,ORD-000213,2499.00,NETBANKING,UTR-IND-00000213,2026-08-17T15:28:00+00:00,SUCCESS
PAY-000214,ORD-000214,49999.00,NETBANKING,UTR-IND-00000214,2026-08-24T18:46:00+00:00,SUCCESS
PAY-000215,ORD-000215,4999.00,NETBANKING,UTR-IND-00000215,2026-08-06T22:04:00+00:00,SUCCESS
PAY-000216,ORD-000216,2999.00,NETBANKING,UTR-IND-00000216,2026-08-13T00:18:00+00:00,SUCCESS
PAY-000217,ORD-000217,2499.00,UPI,UTR-IND-00000217,2026-08-20T03:34:00+00:00,SUCCESS
PAY-000218,ORD-000218,4999.00,UPI,UTR-IND-00000218,2026-08-02T06:56:00+00:00,SUCCESS
PAY-000219,ORD-000219,1499.50,CARD,UTR-IND-00000219,2026-08-09T09:08:00+00:00,SUCCESS
PAY-000220,ORD-000220,49999.00,NETBANKING,UTR-IND-00000220,2026-08-16T12:30:00+00:00,SUCCESS
PAY-000221,ORD-000221,3499.00,UPI,UTR-IND-00000221,2026-08-23T15:42:00+00:00,SUCCESS
PAY-000222,ORD-000222,3499.00,CARD,UTR-IND-00000222,2026-08-05T19:01:00+00:00,SUCCESS
PAY-000223,ORD-000223,1499.50,NETBANKING,UTR-IND-00000223,2026-08-12T21:13:00+00:00,SUCCESS
PAY-000224,ORD-000224,1299.00,NETBANKING,UTR-IND-00000224,2026-08-19T00:30:00+00:00,SUCCESS
PAY-000225,ORD-000225,499.00,NETBANKING,UTR-IND-00000225,2026-08-01T03:49:00+00:00,SUCCESS
PAY-000226,ORD-000226,49999.00,UPI,UTR-IND-00000226,2026-08-08T06:04:00+00:00,SUCCESS
PAY-000227,ORD-000227,3499.00,WALLET,UTR-IND-00000227,2026-08-15T09:28:00+00:00,SUCCESS
PAY-000228,ORD-000228,25000.00,NETBANKING,UTR-IND-00000228,2026-08-22T12:40:00+00:00,SUCCESS
PAY-000229,ORD-000229,499.00,NETBANKING,UTR-IND-00000229,2026-08-04T16:02:00+00:00,SUCCESS
PAY-000230,ORD-000230,999.00,UPI,UTR-IND-00000230,2026-08-11T18:18:00+00:00,SUCCESS
PAY-000231,ORD-000231,49999.00,UPI,UTR-IND-00000231,2026-08-18T21:29:00+00:00,SUCCESS
PAY-000232,ORD-000232,1299.00,CARD,UTR-IND-00000232,2026-08-25T00:50:00+00:00,SUCCESS
PAY-000233,ORD-000233,799.00,CARD,UTR-IND-00000233,2026-08-07T03:04:00+00:00,SUCCESS
PAY-000234,ORD-000234,14999.00,CARD,UTR-IND-00000234,2026-08-14T06:28:00+00:00,SUCCESS
PAY-000235,ORD-000235,9999.00,WALLET,UTR-IND-00000235,2026-08-21T09:44:00+00:00,SUCCESS
PAY-000236,ORD-000236,3499.00,WALLET,UTR-IND-00000236,2026-08-03T12:58:00+00:00,SUCCESS
PAY-000237,ORD-000237,499.00,UPI,UTR-IND-00000237,2026-08-10T15:14:00+00:00,SUCCESS
